name,symbol
Bitcoin,BTC
XRP,XRP
Litecoin,LTC
BitShares,BTS
Dogecoin,DOGE
Nxt,NXT
Peercoin,PPC
Dash,DASH
Namecoin,NMC
MaidSafeCoin,MAID
BitShares PTS,PTS
BitcoinDark,BTCD
Counterparty,XCP
Monero,XMR
BlackCoin,BLK
Stellar,XLM
NXTventure,NXTV
XCurrency,XC
Bytecoin,BCN
Omni,OMNI
Quark,QRK
NuBits,USNBT
ReddCoin,RDD
SuperNET (TOKEN),TOKEN
Zetacoin,ZET
Neutrino,NTR
jl777hodl,JLH
Feathercoin,FTC
Primecoin,XPM
VeriCoin,VRC
sharkfund0,SF0
Viacoin,VIA
FreeMarket,MRKT
MonaCoin,MONA
YbCoin,YBC
DigitalNote,XDN
MozzShare,MLS
ATOMIC,ATOMIC
Pandacoin,PND
Anoncoin,ANC
Novacoin,NVC
Stealth,XST
Megacoin,MEC
WorldCoin,WDC
Infinitecoin,IFC
Maxcoin,MAX
Nxttycoin,NXTTY
NEMstake,NEM
FIMKrypto,FIMK
ShadowCash,SDC
UltraCoin,UTC
BilShares,BILS
Crypti,XCR
Coinomat,CNMT
Bitmark,BTM
Syscoin,SYS
Qora,QORA
Storjcoin X,SJCX
Vertcoin,VTC
Librexcoin,LXC
Boolberry,BBR
Ixcoin,IXC
PotCoin,POT
Unobtanium,UNO
CannabisCoin,CANN
bitUSD,BITUSD
Applecoin,APC
DNotes,NOTE
Gridcoin Classic,GRCX
Devcoin,DVC
Sync,SYNC
MintCoin,MINT
CloakCoin,CLOAK
SolarCoin,SLR
Gulden,NLG
LitecoinDark,LTCD
NautilusCoin,NAUT
Razor,RZR
I/O Coin,IOC
HyperStake,HYP
Horizon,HZ
MGW,MGW
ZcCoin,ZCC
Digitalcoin,DGC
Uro,URO
BoostCoin,BOST
Burst,BURST
Sonic,SSD
TEKcoin,TEK
WhiteCoin,XWC
Kore,KORE
Node,NODE
Terracoin,TRC
Fibre,FIBRE
NetCoin,NET
Donu,DONU
DigiByte,DGB
Myriad,XMY
SaffronCoin,SFR
Qibuck,QBK
Halcyon,HAL
AeroMe,AM
Karmacoin,KARMA
Startcoin,START
TagCoin,TAG
Copperlark,CLR
RootCoin,ROOT
FuelCoin,FC2
Boomcoin,BOOM
Checkcoin,CKC
Riecoin,RIC
HempCoin,THC
Mooncoin,MOON
GreenBacks,GB
XCash,XCASH
Auroracoin,AUR
KeyCoin,KEY
Cryptonite,XCN
bitCNY,BITCNY
Solcoin,SOL
Quatloo,QTL
Aricoin,ARI
CryptCoin,CRYPT
Ubiq,UBQ
Opal,OPAL
SuperCoin,SUPER
IncognitoCoin,ICG
SocialxBot,XBOT
MultiWalletCoin,MWC
X-Children,CHILD
AsiaCoin,AC
Sterlingcoin,SLG
ApexCoin,APEX
ReserveShare,RSU
Gnosis,GNS
Pyramids,PYRA
VolatilityCoin,VLTY
TopCoin,TOP
Functioncoin,FCC
e-Gulden,EFL
CrackCoin,CRACK
Maieuticoin,MMXIV
OrangeCoin,OC
42-coin,42
InstantDEX,DEX
Swarm,SWARM
GameLeagueCoin,GML
Dogeparty,XDP
Marinecoin,MTC
FairCoin,FAIR
HoboNickels,HBN
GoldCoin,GLC
JackpotCoin,JPC
LottoShares,LTS
Tickets,TIX
Hyper,HYPER
Emercoin,EMC
Pinkcoin,PINK
Bullion,CBX
USDe,USDE
Freicoin,FRC
WankCoin,WKC
